Emissor;Ativo;Data de Registro CVM;Data de Emissão;Data da 1ª Repactuação;Data de Vencimento;Prazo (em anos) de Vencimento;Prazo (em anos) de Repactuação;Sit;Tipo de Remuneração;Tipo de Correção;Forma;Classe;Garantia;Ramo
PHILCO ELETRONICOS S/A;PHIL11;17/07/2013;16/07/2013;-;16/07/2017;4,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Outros
PARANA EQUIPAMENTOS  S/A;PREQ11;27/06/2014;25/05/2014;-;25/05/2018;4,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Máquinas e Equipamentos
RENAULT DO BRASIL SA;RENA11;23/03/2016;18/03/2016;-;18/03/2020;4,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;
CIA SANEAMENTO BASICO EST SP - SABESP;SBSPB0;28/12/2015;20/12/2015;-;20/12/2019;4,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Saneamento
TERMOPERNAMBUCO SA;TERP14;18/12/2013;15/12/2013;-;15/12/2017;4,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Energia Elétrica
T4F ENTRETENIMENTO S/A;TIVF12;24/03/2015;25/03/2015;-;25/03/2019;4,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Real;Outros
UNIDAS S/A;UNDA14;21/11/2013;14/11/2013;-;14/11/2017;4,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Real;Comércio Varejista
UTC ENGENHARIA S/A;UTCE11;28/01/2016;30/12/2015;-;30/12/2019;4,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Real;Construção Civil
UTC PARTICIPACOES S/A;UTCP13;28/01/2016;30/12/2015;-;30/12/2019;4,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Real;Empr e Part
VRG LINHAS AEREAS S/A;VRGL16;29/09/2015;29/09/2015;-;29/09/2019;4,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Aviação e Aeronáutica
SANEAMENTO DE GOIAS S/A;SANEB2;14/10/2013;15/09/2013;-;15/10/2017;4,1;-;Reg;IPCA;Integrante de Juros;Escritural;Não Conversível;Quirografária;Saneamento
GRAN JARDINS DOS MONOLITOS EMPREENDIMENTOS IMOBILIARIOS SA;GRJM11;05/09/2014;15/08/2014;-;15/10/2018;4,2;-;Reg;IPCA;Integrante de Juros;Escritural;Não Conversível;Real;Construção Civil
COMPANHIA LIGNA DE INVESTIMENTOS;LIGN12;03/01/2014;06/01/2014;-;01/03/2018;4,2;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Empr e Part
SANEAMENTO DE GOIAS S/A;SANEC2;14/10/2013;15/09/2013;-;15/11/2017;4,2;-;Reg;IPCA;Integrante de Juros;Escritural;Não Conversível;Quirografária;Saneamento
CENTROVIAS SISTEMAS RODOVIARIOS S/A;CSSA12;24/03/2014;20/03/2014;-;20/06/2018;4,3;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Transporte e Logística
BMCHYUNDAI SA;MBHY11;22/11/2012;28/09/2012;-;28/12/2016;4,3;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;
SANEAMENTO DE GOIAS S/A;SANED2;14/10/2013;15/09/2013;-;15/12/2017;4,3;-;Reg;IPCA;Integrante de Juros;Escritural;Não Conversível;Quirografária;Saneamento
SANEAMENTO DE GOIAS S/A;SANEE2;14/10/2013;15/09/2013;-;15/01/2018;4,3;-;Reg;IPCA;Integrante de Juros;Escritural;Não Conversível;Quirografária;Saneamento
VESSEL-LOG COMPANHIA BRASILEIRA DE NAVEGACAO E  LOGISTICA SA;VSEL41;27/09/2012;15/09/2012;-;15/12/2016;4,3;-;Reg;IPCA;Correção Monetária;Escritural;Não Conversível;Quirografária;Transporte e Logística
COMPANHIA EST DE AGUAS E ESGOTOS- CEDAE;CDAE13;01/02/2013;21/01/2013;-;20/06/2017;4,4;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Saneamento
NAMPONT HOLDINGS SA;NAMP11;30/09/2015;24/09/2015;-;28/02/2020;4,4;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Flutuante;Empr e Part
SANEAMENTO DE GOIAS S/A;SANEF2;14/10/2013;15/09/2013;-;15/02/2018;4,4;-;Reg;IPCA;Integrante de Juros;Escritural;Não Conversível;Quirografária;Saneamento
CERRADINHO BIOENERGIA SA;CERA12;26/03/2015;27/03/2015;-;27/09/2019;4,5;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Real;Agronegócios
CERRADINHO BIOENERGIA SA;CERA13;29/06/2016;27/06/2016;-;27/12/2020;4,5;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Real;Agronegócios
COMPANHIA DE LOCACAO DAS AMERICAS;LCAMA0;17/08/2015;14/07/2015;-;14/01/2020;4,5;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Comércio Varejista
SANEAMENTO DE GOIAS S/A;SANEG2;14/10/2013;15/09/2013;-;15/03/2018;4,5;-;Reg;IPCA;Integrante de Juros;Escritural;Não Conversível;Quirografária;Saneamento
VOTORANTIM CIMENTOS S/A;VEBM18;18/12/2015;05/11/2015;-;05/05/2020;4,5;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Cimentos
VESSEL-LOG COMPANHIA BRASILEIRA DE NAVEGACAO E  LOGISTICA SA;VSEL11;27/09/2012;15/09/2012;-;15/03/2017;4,5;-;Reg;IPCA;Correção Monetária;Escritural;Não Conversível;Quirografária;Transporte e Logística
SANEAMENTO DE GOIAS S/A;SANEH2;14/10/2013;15/09/2013;-;15/04/2018;4,6;-;Reg;IPCA;Integrante de Juros;Escritural;Não Conversível;Quirografária;Saneamento
PETROBRAS DISTRIBUIDORA S A;BRDT11;19/08/2015;10/08/2015;-;15/04/2020;4,7;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;
CONCESSIONARIA DO CENTRO ADMINISTRATIVO DO DISTRITO FEDERAL SA - CENTRAD;CTRD11;18/07/2013;11/07/2013;-;15/03/2018;4,7;-;Reg;IPCA;Correção Monetária;Escritural;Não Conversível;Real;Outros
CONCESSIONARIA DO CENTRO ADMINISTRATIVO DO DISTRITO FEDERAL SA - CENTRAD;CTRD21;18/07/2013;11/07/2013;-;15/03/2018;4,7;-;Reg;IPCA;Correção Monetária;Escritural;Não Conversível;Real;Outros
MAGAZINE LUIZA S/A;MGLU13;24/10/2013;21/10/2013;-;13/07/2018;4,7;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Comércio Varejista
SANEAMENTO DE GOIAS S/A;SANEI2;14/10/2013;15/09/2013;-;15/05/2018;4,7;-;Reg;IPCA;Integrante de Juros;Escritural;Não Conversível;Quirografária;Saneamento
ECTE - EMPRESA CATARINENSE DE TRANSMISSAO DE ENERGIA S/A;ECTE13;06/05/2015;07/05/2015;-;07/02/2020;4,8;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Energia Elétrica
EDITORA ATICA SA;EDAT13;07/11/2014;31/10/2014;-;31/07/2019;4,8;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Mídia
EDITORA E DISTRIBUIDORA EDUCACIONAL S/A;EDED32;25/02/2015;18/02/2015;-;10/12/2019;4,8;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Mídia
PRIME REALTY II EMPREENDIMENTOS IMOBILIARIOS SA;RBCP11;16/12/2011;05/12/2011;-;30/09/2016;4,8;-;Reg;IPCA;Correção Monetária;Escritural;Não Conversível;Real;Outros
SANEAMENTO DE GOIAS S/A;SANEJ2;14/10/2013;15/09/2013;-;15/06/2018;4,8;-;Reg;IPCA;Integrante de Juros;Escritural;Não Conversível;Quirografária;Saneamento
SANEAMENTO DE GOIAS S/A;SANEK2;14/10/2013;15/09/2013;-;15/07/2018;4,8;-;Reg;IPCA;Integrante de Juros;Escritural;Não Conversível;Quirografária;Saneamento
EDITORA SCIPIONE SA;SCIP12;07/11/2014;31/10/2014;-;31/07/2019;4,8;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Mídia
VESSEL-LOG COMPANHIA BRASILEIRA DE NAVEGACAO E  LOGISTICA SA;VSEL21;27/09/2012;15/09/2012;-;15/06/2017;4,8;-;Reg;IPCA;Correção Monetária;Escritural;Não Conversível;Quirografária;Transporte e Logística
CONCESSIONARIA DO SISTEMA ANHANGUERA-BANDEIRANTES S/A;ANHB14;18/10/2012;15/10/2012;-;15/09/2017;4,9;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Transporte e Logística
PROFARMA DISTRIBUIDORA DE PRODUTOS FARMACEUTICOS S/A;PFRM11;08/04/2013;08/04/2013;-;08/03/2018;4,9;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Assist Médica/Prod Farmacêuticos
SANEAMENTO DE GOIAS S/A;SANEL2;14/10/2013;15/09/2013;-;15/08/2018;4,9;-;Reg;IPCA;Integrante de Juros;Escritural;Não Conversível;Quirografária;Saneamento
ASCENTY DATA CENTERS LOCACAO E SERVICOS SA;ACDL12;25/09/2014;22/09/2014;-;22/09/2019;5,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;TI e Telecomunicações
ADHER INVESTIMENTOS S/A;ADHE11;29/04/2013;15/04/2013;-;15/04/2018;5,0;-;Reg;IPCA;Correção Monetária;Escritural;Não Conversível;Real;Empr e Part
ADAMI SA - MADEIRAS;ADMA11;01/04/2015;27/03/2015;-;27/03/2020;5,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Real;Papel e Celulose
ALLPARK EMPREENDIMENTOS PARTICIPACOES E SERVICOS S/A;AEPS16;25/06/2014;09/06/2014;-;09/06/2019;5,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Real;Outros
ALLPARK EMPREENDIMENTOS PARTICIPACOES E SERVICOS S/A;AEPS17;30/07/2015;25/06/2015;-;25/06/2020;5,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Outros
AGEO TERMINAIS E ARMAZENS GERAIS S/A;AGEO11;06/10/2014;18/09/2014;-;18/09/2019;5,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Transporte e Logística
AGUAS GUARIROBA  S/A;AGGU12;12/09/2014;15/08/2014;-;15/08/2019;5,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Saneamento
AGV LOGISTICA SA;AGVL11;08/02/2012;10/01/2012;-;10/01/2017;5,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Transporte e Logística
ALESAT COMBUSTIVEIS  S/A;ALEC11;08/05/2012;10/04/2012;-;10/04/2017;5,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Comércio Varejista
ALESAT COMBUSTIVEIS  S/A;ALES12;29/05/2014;23/05/2014;-;23/05/2019;5,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Comércio Varejista
ALGAR TELECOM SA;ALGA12;24/10/2012;15/09/2012;-;15/09/2017;5,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;TI e Telecomunicações
ALL-AMERICA LATINA LOGISTICA S/A;ALLG10;11/12/2012;01/10/2012;-;01/10/2017;5,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Transporte e Logística
ALIANSCE SHOPPING CENTERS S/A;ALSC12;24/10/2012;25/10/2012;-;25/10/2017;5,0;-;Reg;TJLP;Integrante de Juros;Escritural;Não Conversível;Real;Adm Shopping Centers
MARISA LOJAS S/A;AMAR12;21/12/2011;20/12/2011;-;20/12/2016;5,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Comércio Varejista
MARISA LOJAS S/A;AMAR13;08/05/2014;25/04/2014;-;25/04/2019;5,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Comércio Varejista
AMPLA ENERGIA E SERVICOS S/A;AMPL17;27/06/2012;15/06/2012;-;15/06/2017;5,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Energia Elétrica
AMPLA ENERGIA E SERVICOS S/A;AMPL18;15/07/2014;07/07/2014;-;07/07/2019;5,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Energia Elétrica
AMPLA ENERGIA E SERVICOS S/A;AMPL28;15/07/2014;07/07/2014;-;07/07/2019;5,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Energia Elétrica
CONCESSIONARIA DO SISTEMA ANHANGUERA-BANDEIRANTES S/A;ANHB15;08/10/2013;15/10/2013;-;15/10/2018;5,0;-;Reg;IPCA;Integrante de Juros;Escritural;Não Conversível;Quirografária;Transporte e Logística
CONCESSIONARIA DO SISTEMA ANHANGUERA-BANDEIRANTES S/A;ANHB16;09/10/2014;15/10/2014;-;15/10/2019;5,0;-;Reg;IPCA;Integrante de Juros;Escritural;Não Conversível;Quirografária;Transporte e Logística
CONCESSIONARIA DO SISTEMA ANHANGUERA-BANDEIRANTES S/A;ANHB24;18/10/2012;15/10/2012;-;15/10/2017;5,0;-;Reg;IPCA;Correção Monetária;Escritural;Não Conversível;Quirografária;Transporte e Logística
ATIVAS DATA CENTER SA;ATDC11;18/07/2012;01/07/2012;-;01/07/2017;5,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;TI e Telecomunicações
ATIVAS DATA CENTER SA;ATDC12;29/06/2015;29/06/2015;-;29/06/2020;5,0;-;Reg;IPCA;Integrante de Juros;Escritural;Não Conversível;Real;TI e Telecomunicações
ESTALEIRO ATLANTICO SUL S/A;ATLA11;23/07/2014;14/07/2014;-;14/07/2019;5,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Transporte e Logística
AZUL LINHAS AEREAS BRASILEIRAS SA;AZLA15;26/09/2014;19/09/2014;-;19/09/2019;5,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Aviação e Aeronáutica
BCLV COMERCIO DE VEICULOS SA;BCLV11;27/02/2013;15/02/2013;-;15/02/2018;5,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Comércio Varejista
BEMATECH S/A;BEMA11;09/06/2014;10/07/2014;-;10/07/2019;5,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;TI e Telecomunicações
BROOKFIELD INCORPORACOES S/A;BISA24;09/08/2011;08/08/2011;-;08/08/2016;5,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Construção Civil
LOJAS LE BISCUIT SA;BISC11;13/11/2013;05/11/2013;-;05/11/2018;5,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Comércio Varejista
LOJAS LE BISCUIT SA;BISC12;07/08/2014;16/07/2014;-;16/07/2019;5,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Comércio Varejista
BK BRASIL OPERACAO E ASSESSORIA A RESTAURANTES S/A;BKBR11;29/04/2013;24/04/2013;-;24/04/2018;5,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Alimentos e Bebidas
BK BRASIL OPERACAO E ASSESSORIA A RESTAURANTES S/A;BKBR12;20/03/2014;14/03/2014;-;14/03/2019;5,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Alimentos e Bebidas
BK BRASIL OPERACAO E ASSESSORIA A RESTAURANTES S/A;BKBR13;08/01/2015;30/12/2014;-;30/12/2019;5,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Alimentos e Bebidas
BOA VISTA SERVICOS SA;BOAV11;13/03/2014;13/03/2014;-;13/03/2019;5,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Outros
BOA VISTA SERVICOS SA;BOAV12;15/09/2015;25/07/2015;-;25/07/2020;5,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Real;Outros
BOA VISTA SERVICOS SA;BOAV22;15/09/2015;25/07/2015;-;25/07/2020;5,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Real;Outros
A BODYTECH PARTICIPACOES SA;BODY13;29/09/2014;16/09/2014;-;16/09/2019;5,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Outros
BRITANIA ELETRODOMESTICOS  SA;BREL11;23/10/2014;03/10/2014;-;03/10/2019;5,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Outros
BR MALLS PARTICIPACOES S/A;BRML12;09/02/2012;15/02/2012;-;15/02/2017;5,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Adm Shopping Centers
BR PROPERTIES SA;BRPR11;27/07/2012;15/07/2012;-;15/07/2017;5,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Real;Construção Civil
BR PROPERTIES SA;BRPR15;10/11/2014;05/11/2014;-;05/11/2019;5,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Construção Civil
PARTNERS PHARMA PARTICIPACOES S/A;BTPP11;02/08/2012;03/08/2012;-;03/08/2017;5,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Assist Médica/Prod Farmacêuticos
CANDEIAS ENERGIA SA;CADS12;02/07/2014;23/05/2014;-;23/05/2019;5,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Energia Elétrica
CANDEIAS ENERGIA SA;CADS22;02/07/2014;23/05/2014;-;23/05/2019;5,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Energia Elétrica
CALOI NORTE SA;CALO11;17/04/2014;21/03/2014;-;21/03/2019;5,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Outros
CAMIL ALIMENTOS S/A;CAML12;13/02/2012;19/01/2012;-;19/01/2017;5,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Alimentos e Bebidas
CAMIL ALIMENTOS S/A;CAML14;18/07/2014;15/03/2014;-;15/03/2019;5,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Alimentos e Bebidas
CAMIL ALIMENTOS S/A;CAML22;13/02/2012;19/01/2012;-;19/01/2017;5,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Alimentos e Bebidas
ANDRADE GUTIERREZ PARTICIPACOES SA;CANT12;27/06/2012;15/06/2012;-;15/06/2017;5,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Empr e Part
COMPANHIA CATARINENSE DE AGUAS E SANEAMENTO - CASAN;CASN11;05/01/2016;09/12/2015;-;09/12/2020;5,0;-;Reg;TJLP;Integrante de Juros;Escritural;Não Conversível;Real;Saneamento
COMPANHIA CATARINENSE DE AGUAS E SANEAMENTO - CASAN;CASN21;28/12/2015;09/12/2015;-;09/12/2020;5,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Real;Saneamento
COMPANHIA CATARINENSE DE AGUAS E SANEAMENTO - CASAN;CASN31;05/01/2016;09/12/2015;-;09/12/2020;5,0;-;Reg;TJLP;Integrante de Juros;Escritural;Não Conversível;Real;Saneamento
COMPANHIA CATARINENSE DE AGUAS E SANEAMENTO - CASAN;CASN41;28/12/2015;09/12/2015;-;09/12/2020;5,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Real;Saneamento
COMPANHIA BRASILEIRA DE DISTRIBUICAO;CBRDA2;16/09/2014;12/09/2014;-;12/09/2019;5,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Comércio Varejista
CAMARGO CORREA CONSTRUCOES E PARTICIPACOES SA;CCCP11;28/11/2013;29/11/2013;-;29/11/2018;5,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Construção Civil
CYRELA COMMERCIAL PROPERTIES S/A EMPREENDIMENTOS E PARTICIPACOES;CCPE12;28/02/2012;15/02/2012;-;15/02/2017;5,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Construção Civil
CYRELA COMMERCIAL PROPERTIES S/A EMPREENDIMENTOS E PARTICIPACOES;CCPE13;19/02/2013;15/01/2013;-;15/01/2018;5,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Construção Civil
CECRISA REVESTIMENTOS CERAMICOS S/A;CCRC15;18/12/2014;12/12/2014;-;12/12/2019;5,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Real;Indústria e Comércio
COMPANHIA EST DE AGUAS E ESGOTOS- CEDAE;CDAE12;12/03/2012;15/02/2012;-;15/02/2017;5,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Saneamento
COMPANHIA EST DE AGUAS E ESGOTOS- CEDAE;CDAE16;28/12/2015;29/12/2015;-;29/12/2020;5,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Real;Saneamento
COMPANHIA ENERGETICA DO CEARA-COELCE;CEAR13;16/11/2011;15/10/2011;-;15/10/2016;5,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Energia Elétrica
CEB DISTRIBUICAO S/A;CEBD11;30/06/2015;15/06/2015;-;15/06/2020;5,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Real;Energia Elétrica
COMPANHIA ENERGETICA DO JARI - CEJA;CEJA12;09/10/2013;07/10/2013;-;07/10/2018;5,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Energia Elétrica
CELULOSE IRANI S/A;CELU12;24/12/2012;30/11/2012;-;30/11/2017;5,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Real;Papel e Celulose
COMPANHIA DE GAS DE MINAS GERAIS GASMIG;CGMG13;15/05/2013;29/04/2013;-;29/04/2018;5,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Petróleo e Gás
COPOBRAS S/A IND E COM DE EMBALAGENS;CICE12;26/02/2014;14/02/2014;-;14/02/2019;5,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Real;Outros
CEMIG DISTRIBUICAO S/A;CMDT13;07/03/2013;15/02/2013;-;15/02/2018;5,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Energia Elétrica
COMPORTE PARTICIPACOES SA;CMPO12;27/11/2015;17/11/2015;-;17/11/2020;5,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Empr e Part
CEMIG GERACAO E TRANSMISSAO S/A;CMTR13;12/03/2012;15/02/2012;-;15/02/2017;5,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Energia Elétrica
CEMIG GERACAO E TRANSMISSAO S/A;CMTR26;14/07/2015;15/07/2015;-;15/07/2020;5,0;-;Reg;IPCA;Integrante de Juros;Escritural;Não Conversível;Quirografária;Energia Elétrica
CODEME  ENGENHARIA S/A;CODE11;24/10/2013;25/10/2013;-;25/10/2018;5,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Construção Civil
COMIL  ONIBUS SA;COMI11;24/08/2012;27/07/2012;-;27/07/2017;5,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Transporte e Logística
COMPANHIA PARANAENSE DE ENERGIA-COPEL;CPEL15;26/05/2014;13/05/2014;-;13/05/2019;5,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Energia Elétrica
CPFL GERACAO DE ENERGIA S/A;CPGE17;21/05/2014;25/04/2014;-;25/04/2019;5,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Energia Elétrica
CPFL GERACAO DE ENERGIA S/A;CPGE18;27/05/2014;28/04/2014;-;28/04/2019;5,0;-;Reg;IPCA;Integrante de Juros;Escritural;Não Conversível;Quirografária;Energia Elétrica
COPEL GERACAO E TRANSMISSAO SA;CPGT11;19/05/2015;15/05/2015;-;15/05/2020;5,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Energia Elétrica
COPEL  DISTRIBUICAO S/A;CPLD11;29/10/2012;30/10/2012;-;30/10/2017;5,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Energia Elétrica
COMPANHIA NACIONAL DE ALCOOL;CPNA11;26/08/2015;25/08/2015;-;25/08/2020;5,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Real;Comércio Varejista
CPQ BRASIL S/A;CPQB13;17/12/2014;08/12/2014;-;08/12/2019;5,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Alimentos e Bebidas
S/A CORREIO BRAZILIENSE;CRBZ11;28/06/2016;12/05/2016;-;25/05/2021;5,0;-;Reg;IPCA;Integrante de Juros;Escritural;Não Conversível;Real;
CONCESSIONARIA DE RODOVIAS DO INTERIOR PAULISTA S/A;CRIP13;07/10/2013;25/09/2013;-;25/09/2018;5,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Transporte e Logística
CROMEX S/A;CRMX12;17/09/2014;10/08/2014;-;10/08/2019;5,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Química e Petroquímica
COMPANHIA DE SANEAMENTO DE MINAS GERAIS COPASA MG;CSMG16;22/02/2012;15/02/2012;-;15/02/2017;5,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Saneamento
COMPANHIA DE SANEAMENTO DE MINAS GERAIS COPASA MG;CSMG17;23/04/2014;15/04/2014;-;15/04/2019;5,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Saneamento
COMPANHIA DE SANEAMENTO DE MINAS GERAIS COPASA MG;CSMG19;27/08/2015;15/08/2015;-;15/08/2020;5,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Saneamento
CTEEP - COMPANHIA DE TRANSMISSAO DE ENERGIA ELETRICA PAULISTA;CTEE13;27/12/2013;26/12/2013;-;26/12/2018;5,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Energia Elétrica
CYRELA BRAZIL REALTY S/A EMPREENDIMENTOS E PARTICIPACOES;CYRE16;11/09/2012;21/08/2012;-;21/08/2017;5,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Construção Civil
DIAGNOSTICOS DA AMERICA S/A;DASA14;15/10/2013;15/10/2013;-;15/10/2018;5,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Assist Médica/Prod Farmacêuticos
DIAGNOSTICOS DA AMERICA S/A;DASA25;20/03/2015;10/03/2015;-;10/03/2020;5,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Assist Médica/Prod Farmacêuticos
DOBREVE  ENERGIA  SA;DBRV12;05/05/2014;01/04/2014;-;01/04/2019;5,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Energia Elétrica
DELGA INDUSTRIA E COMERCIO S/A;DELG22;29/05/2014;12/05/2014;-;12/05/2019;5,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Real;Indústria e Comércio
CLINICA DELFIN GONZALEZ MIRANDA SA;DFNG11;05/08/2013;08/07/2013;-;08/07/2018;5,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Real;Assist Médica/Prod Farmacêuticos
