Empresas com Registro no SND (*)- Gerado em 20/07/2016 17:42:53																																																																																										
																																																																																										
Código do Ativo	Empresa        	Série	Emissão	IPO	Situação	ISIN	Registro CVM da Emissão	Data de Registro CVM da Emissão	Registro CVM do Programa	Data de Registro CVM do Programa	Data de Emissão	 Data de Vencimento	Motivo de Saída 	Data de Saída / Novo Vencimento	 Data do Início da Rentabilidade	Data do Início da Distribuição	Data da Próxima Repactuação	Ato Societário (1)	Data do Ato (1)	Ato Societário (2)	Data do Ato (2)	Forma	Garantia/Espécie	Classe	Quantidade Emitida	Artigo 14º	Artigo 24º	Quantidade em Mercado	Quantidade em Tesouraria	Quantidade Resgatada	Quantidade  Cancelada	Quantidade Convertida no SND	Quantidade Convertida fora do SND	Quantidade Permutada no SND	Quantidade Permutada fora do SND	Unidade Monetária	Valor Nominal na Emissão	Unidade Monetária	Valor Nominal Atual	Data Últ. VNA	Índice	Tipo	Critério de Cálculo	Dia de Referência para Índice de Preços	Critério para Índice	Corrige a cada	Percentual Multiplicador/Rentabilidade	Limite da TJLP	Tipo de Tratamento do Limite da TJLP	Juros Critério Antigo do SND	Prêmios Critério Antigo do SND	Amortização - Taxa	Amortização - Cada	Amortização - Unidade	Amortização - Carência	Amortização - Critério	Tipo de Amortização	Juros Critério Novo - Taxa	Juros Critério Novo - Prazo	Juros Critério Novo - Cada	Juros Critério Novo - Unidade	Juros Critério Novo - Carência	Juros Critério Novo - Critério	Juros Critério Novo - Tipo	Prêmio Critério Novo - Taxa	Prêmio Critério Novo - Prazo	Prêmio Critério Novo - Cada	Prêmio Critério Novo - Unidade	Prêmio Critério Novo - Carência	Prêmio Critério Novo - Critério	Prêmio Critério Novo - Tipo	Participação - Taxa	Participação - Cada	Participação - Unidade	Participação - Carência	Participação - Descrição	Rating1	Agência Classificadora	Rating2	Agência Classificadora	Rating3	Agência Classificadora	Banco Mandatário	Agente Fiduciário	Instituição Depositária	Coordenador Líder	CNPJ	Deb. Incent. (Lei 12.431)	Escritura Padronizada	Resgate Antecipado
ABNB11    	VALID SOLUCOES E SERVICOS DE SEGURANCA EM MEIOS DE PAGAMENTO E IDENTIFICACAO S/A	'UNI	'001	Não	Excluído	BRVLIDDBS007	CVM/SRE/DEB-2008/015	25/04/2008			20/04/2008	20/04/2013	VENCIMENTO		20/04/2008	29/04/2008	-	RCA	28/01/2008	RCA	03/03/2008	Escritural	Quirografária	Simples	18	1.5	0	0	0	17.741	0	0	0	0	0	R$	10.000,000000	R$	2.000,000000	22/04/2013	DI	Integrante de Juros	Padrão - SND		DU	   	100,00	0,000	-			200,000	6	MES	20/04/2011	-	Percentual fixo sobre o valor nominal de emissão em períodos uniformes	15,000	252	6	MES	20/10/2008	Útil	Exponencial	0,0000	0	0,	0 0	-	-	-	0,0000	0	-	-	-							BANCO BRADESCO S/A	OLIVEIRA TRUST DTVM SA	BANCO BRADESCO S/A	BANCO BRADESCO BBI S/A        	3.31133E+13	N	 n 	
AEPA11    	ANHANGUERA EDUCACIONAL PARTICIPACOES S.A.	'UNI	'001	ND	Excluído	BRAEDUDBS001	SRE/GER2/Nº254/2009 	12/03/2009			03/03/2009	03/09/2010	VENCIMENTO	08/09/2010	03/03/2009	13/03/2009	-	RCA	18/02/2009	   		Escritural	Quirografária	Simples	1	0	0	0	0	0	0	0	0	0	0	R$	40.000.000,000000	R$	0,000000	06/09/2010	DI	Integrante de Juros	Padrão - SND	0	DU	   	100,00	0,000	-			0,0000	0	-	-	-	-	35,000	252	3	MES	03/06/2009	Útil	Exponencial	0,0000	0	0,	-	-	-	-	0,0000	0	-	-	-							ITAU UNIBANCO S.A.	OLIVEIRA TRUST DTVM S/A	ITAU UNIBANCO S/A	ITAU UNIBANCO S.A.	4.31039E+12	N	 n 	
AEPA12    	ANHANGUERA EDUCACIONAL PARTICIPACOES S.A.	'UNI	'002	ND	Excluído	BRAEDUDBS019	DISPENSA ICVM 476/09	28/09/2009			21/09/2009	21/09/2011	VENCIMENTO	23/09/2011	21/09/2009	28/09/2009	-	AGE	03/09/2009	RCA	11/09/2009	Escritural	Real	Simples	50	0,	0,	0	0	0	0	0	0	0	0	R$	1.000.000,000000	R$	0,000000	22/09/2011	DI	Integrante de Juros	Padrão - SND	0	DU	   	100,00	0,000	-			76,923	1	MES	21/09/2010	-	Percentual fixo sobre o valor nominal de emissão em períodos uniformes	25,000	252	3	MES	21/12/2009	Útil	Exponencial	0,0000	0	0,	-	-	-	-	0,0000	0	-	-	-							ITAU UNIBANCO S.A.	PLANNER TRUSTEE DTVM LTDA.	ITAU CORRETORA DE VALORES S/A                     	ITAU UNIBANCO S.A.	4.31039E+12	N	 n 	
AEPA13    	ANHANGUERA EDUCACIONAL PARTICIPACOES S.A.	'001	'003	ND	Excluído	BRAEDUDBS027	CVM/SRE/DEB/2009/021	28/10/2009			03/11/2009	03/11/2012	RESGATE TOTAL ANTECIPADO	03/11/2011	03/11/2009	03/11/2009	-	RCA	11/09/2009	RCA	20/10/2009	Escritural	Quirografária	Simples	190	0	0	0	0	0	0	0	0	0	0	R$	1.000,000000	R$	0,000000	01/11/2011	DI	Integrante de Juros	Padrão - SND	0	DU	   	100,00	0,000	-			0,0000	0	-	-	-	-	21,500	252	6	MES	03/05/2010	Útil	Exponencial	0,0000	0	0,	-	-	-	-	0,0000	0	-	-	-							ITAU UNIBANCO S.A.	SLW CVC LTDA.	ITAU CORRETORA DE VALORES S/A                     	ITAU UNIBANCO S.A.	4.31039E+12	N	 n 	
AEPA23    	ANHANGUERA EDUCACIONAL PARTICIPACOES S.A.	'002	'003	ND	Excluído	BRAEDUDBS035	CVM/SRE/DEB/2009/022	28/10/2009			03/11/2009	03/11/2014	RESGATE TOTAL ANTECIPADO		03/11/2009	-	-	RCA	11/09/2009	RCA	20/10/2009	Escritural	Quirografária	Simples	10	0	0	0	0	10	0	0,	0	0,	0	R$	1.000,000000	R$	662,899,385	26/08/2014	IPCA	Correção Monetária	Padrão - SND	3	-	   	0,00	0,000	-			500,000	12	MES	03/11/2013	-	Percentual fixo sobre o valor nominal de emissão em períodos uniformes	87,000	252	12	MES	03/11/2010	Útil	Exponencial	0,0000	0	0,	0 0	-	-	-	0,0000	0	-	-	-							ITAU UNIBANCO S.A.	SLW CVC LTDA	ITAU CV S/A	ITAU UNIBANCO S.A.	4.31039E+12	N	 n 	
AEPS11    	ALLPARK EMPREENDIMENTOS PARTICIPACOES E SERVICOS S/A	'UNI	'001	ND	Excluído	BRALPKDBS001	DISPENSA ICVM 476/09	04/11/2010			25/10/2010	25/10/2015	RESGATE TOTAL ANTECIPADO	27/11/2012	25/10/2010	05/11/2010	-	RCA	15/10/2010	   		Escritural	Flutuante	Simples	55	0	0	0	0	0	0	0	0	0	0	R$	1.000.000,000000	R$	0,000000		DI	Integrante de Juros	Padrão - SND	0	DU	   	100,00	0,000	-			0,0000	0	-	-	-	-	28,000	252	6	MES	25/04/2011	Útil	Exponencial	0,0000	0	0,	0 0	-	-	-	0,0000	0	-	-	-							BANCO BRADESCO S/A	PENTAGONO SA DTVM	BANCO BRADESCO S/A	BANCO BRADESCO BBI S/A	6.05373E+13	N	 n 	
ALLG16    	ALL-AMERICA LATINA LOGISTICA S/A	'ÚNI	'006	Não	Excluído	BRALLLDBS032	CVM/SRE/DEB-2006/029	27/07/2006			01/07/2006	01/07/2014	VENCIMENTO		01/07/2006	-	-	RCA	23/06/2006	RCA	21/07/2006	Escritural	Quirografária	Simples	70	0,	0,	0	0	55.057	0	0,	0	0,	0	R$	10.000,000000	R$	2.500,000000	01/07/2014	DI	Integrante de Juros	Padrão - SND		-	   	100,00	0,000	-			250,000	12	MES	01/07/2011	-	Percentual fixo sobre o valor nominal de emissão em períodos uniformes	24,000	252	6	MES	01/01/2010	Útil	Exponencial	0,0000	0	0,	0 0	-	-	-	0,0000	0	-	-	-							ITAU UNIBANCO S.A.	PLANNER TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA	ITAU UNIBANCO S/A	BANCO SANTANDER BRASIL S.A.	2.38724E+12	N	 n 	
AMBV11    	COMPANHIA DE BEBIDAS DAS AMERICAS - AMBEV	'001	'001	Não	Excluído	BRAMBVDBS006	CVM/SRE/DEB-2006/030	28/07/2006			01/07/2006	01/07/2009	VENCIMENTO	03/07/2009	01/07/2006	31/07/2006	-	RCA	08/06/2006	RCA	26/07/2006	Escritural	Quirografária	Simples	81.705	0,	0,	0	0	0	0	0	0	0	0	R$	10.000,000000	R$	0,000000	02/07/2009	DI	Integrante de Juros	Padrão - SND	0	DU	   	101,75	0,000	-			0,0000	0	-	-	-	-	0,0000	0	3	MES	01/10/2006	Útil	Exponencial	0,0000	0	0,	-	-	-	-	0,0000	0	-	-	-							ITAU UNIBANCO S.A.	OLIVEIRA TRUST DTVM S/A	ITAU UNIBANCO S/A	UNIBANCO UNIAO DE BCOS BRASILEIROS S/A	2.80871E+12	N	 n 	
AMBV21    	COMPANHIA DE BEBIDAS DAS AMERICAS - AMBEV	'002	'001	Não	Excluído	BRAMBVDBS014	CVM/SRE/DEB-2006/031	28/07/2006			01/07/2006	01/07/2012	VENCIMENTO	04/07/2012	01/07/2006	31/07/2006	-	RCA	08/06/2006	RCA	26/07/2006	Escritural	Quirografária	Simples	124.803	0	0	0	0	0	0	0	0	0	0	R$	10.000,000000	R$	0,000000	03/07/2012	DI	Integrante de Juros	Padrão - SND	0	DU	   	102,50	0,000	-			0,0000	0	-	-	-	-	0,0000	0	3	MES	01/10/2006	Útil	Exponencial	0,0000	0	0,	-	-	-	-	0,0000	0	-	-	-							ITAU UNIBANCO S.A.	OLIVEIRA TRUST DTVM SA	ITAU UNIBANCO S/A                                 	UNIBANCO UNIAO DE BCOS BRASILEIROS S/A	2.80871E+12	N	 n 	
AMIP11    	AMIL PARTICIPACOES S/A	'UNI	'001	ND	Excluído	BRAMILDBS002	DISPENSA ICVM 476/09	22/01/2010			26/01/2010	21/01/2011	RESGATE TOTAL ANTECIPADO	21/12/2010	26/01/2010	26/01/2010	-	RCA	12/01/2010	   		Escritural	Quirografária	Simples	30	0,	0,	0	0	0	0	0	0	0	0	R$	10.000.000,000000	R$	0,000000	20/12/2010	DI	Integrante de Juros	Padrão - SND	0	DU	   	109,75	0,000	-			0,0000	0	-	-	-	-	0,0000	0	12	MES	21/01/2011	Útil	Exponencial	0,0000	0	0,	-	-	-	-	0,0000	0	-	-	-							ITAU UNIBANCO S.A.	OLIVEIRA TRUST DTVM S/A	ITAU CORRETORA DE VALORES S/A                     	ITAU UNIBANCO S.A.	3.64612E+13	N	 n 	
