02/01/2007 	1762248.95 	
03/01/2007 	4174195.61 	
04/01/2007 	2328357.55 	
05/01/2007 	11398328.21 	
08/01/2007 	7970642.49 	
09/01/2007 	1511566.75 	
10/01/2007 	440031.60 	
12/01/2007 	2534927.21 	
15/01/2007 	216688.69 	
16/01/2007 	4160893.34 	
17/01/2007 	710146.77 	
18/01/2007 	3441031.00 	
19/01/2007 	10400535.37 	
22/01/2007 	1300927.69 	
23/01/2007 	306697.30 	
24/01/2007 	355942.96 	
25/01/2007 	541733.98 	
26/01/2007 	1517411.03 	
29/01/2007 	8806.00 	
31/01/2007 	29273802.88 	
01/02/2007 	1703719.21 	
05/02/2007 	12186443.83 	
06/02/2007 	2032124.68 	
07/02/2007 	45726.48 	
08/02/2007 	55537724.86 	
09/02/2007 	357991.71 	
12/02/2007 	9179926.54 	
13/02/2007 	75637.89 	
14/02/2007 	1862911.20 	
16/02/2007 	12317402.75 	
21/02/2007 	17888231.98 	
22/02/2007 	6599562.58 	
26/02/2007 	210775.38 	
27/02/2007 	3641633.70 	
28/02/2007 	1889877.99 	
02/03/2007 	10403154.55 	
05/03/2007 	2223743.74 	
06/03/2007 	1999422.24 	
07/03/2007 	1180610.69 	
08/03/2007 	871244.69 	
09/03/2007 	2626310.17 	
13/03/2007 	11679787.14 	
14/03/2007 	824615.10 	
15/03/2007 	1771828.51 	
16/03/2007 	11758331.98 	
20/03/2007 	690000.00 	
23/03/2007 	24149.99 	
26/03/2007 	191730.00 	
30/03/2007 	129684.94 	
03/04/2007 	72000.00 	
04/04/2007 	847.00 	
10/04/2007 	20520.00 	
12/04/2007 	5180.00 	
17/04/2007 	605240.59 	
19/04/2007 	276075829.29 	
20/04/2007 	2100.00 	
23/04/2007 	527250.00 	
24/04/2007 	1048743.60 	
27/04/2007 	56420.00 	
30/04/2007 	315000.00 	
03/05/2007 	13300.00 	
04/05/2007 	128580288.41 	
07/05/2007 	31200.00 	
09/05/2007 	9900.00 	
10/05/2007 	9900.00 	
15/05/2007 	20100.00 	
16/05/2007 	256083.90 	
17/05/2007 	120000.00 	
18/05/2007 	860599.79 	
21/05/2007 	24950.00 	
22/05/2007 	39800.00 	
24/05/2007 	9750.00 	
25/05/2007 	9750.00 	
30/05/2007 	26464574.83 	
01/06/2007 	462180.84 	
04/06/2007 	15600.00 	
11/06/2007 	60000.00 	
12/06/2007 	45349.98 	
20/06/2007 	19167.59 	
25/06/2007 	1167.60 	
26/06/2007 	39087.79 	
