Empresas com Registro no SND (*)- Gerado em 20/07/2016 17:39:27																																																																																										
																																																																																										
Código do Ativo	Empresa        	Série	Emissão	IPO	Situação	ISIN	Registro CVM da Emissão	Data de Registro CVM da Emissão	Registro CVM do Programa	Data de Registro CVM do Programa	Data de Emissão	 Data de Vencimento	Motivo de Saída 	Data de Saída / Novo Vencimento	 Data do Início da Rentabilidade	Data do Início da Distribuição	Data da Próxima Repactuação	Ato Societário (1)	Data do Ato (1)	Ato Societário (2)	Data do Ato (2)	Forma	Garantia/Espécie	Classe	Quantidade Emitida	Artigo 14º	Artigo 24º	Quantidade em Mercado	Quantidade em Tesouraria	Quantidade Resgatada	Quantidade  Cancelada	Quantidade Convertida no SND	Quantidade Convertida fora do SND	Quantidade Permutada no SND	Quantidade Permutada fora do SND	Unidade Monetária	Valor Nominal na Emissão	Unidade Monetária	Valor Nominal Atual	Data Últ. VNA	Índice	Tipo	Critério de Cálculo	Dia de Referência para Índice de Preços	Critério para Índice	Corrige a cada	Percentual Multiplicador/Rentabilidade	Limite da TJLP	Tipo de Tratamento do Limite da TJLP	Juros Critério Antigo do SND	Prêmios Critério Antigo do SND	Amortização - Taxa	Amortização - Cada	Amortização - Unidade	Amortização - Carência	Amortização - Critério	Tipo de Amortização	Juros Critério Novo - Taxa	Juros Critério Novo - Prazo	Juros Critério Novo - Cada	Juros Critério Novo - Unidade	Juros Critério Novo - Carência	Juros Critério Novo - Critério	Juros Critério Novo - Tipo	Prêmio Critério Novo - Taxa	Prêmio Critério Novo - Prazo	Prêmio Critério Novo - Cada	Prêmio Critério Novo - Unidade	Prêmio Critério Novo - Carência	Prêmio Critério Novo - Critério	Prêmio Critério Novo - Tipo	Participação - Taxa	Participação - Cada	Participação - Unidade	Participação - Carência	Participação - Descrição	Rating1	Agência Classificadora	Rating2	Agência Classificadora	Rating3	Agência Classificadora	Banco Mandatário	Agente Fiduciário	Instituição Depositária	Coordenador Líder	CNPJ	Deb. Incent. (Lei 12.431)	Escritura Padronizada	Resgate Antecipado
ACST15    	ACESITA S/A	'UNI	'005	Não	Excluído	BRACESDBS023	CVM/SRE/DEB-2002/040	09/12/2002			01/12/2002	01/12/2006	CANCELAMENTO	08/12/2005	01/12/2004	13/12/2002	-	AGE	21/10/2002	RCA	07/11/2002	Escritural	Subordinada	Simples	80	0,	0,	0	0	0	37.545	0	0	0	0	R$	10.000,000000	R$	10.000,000000	08/12/2005	DI	Integrante de Juros	Padrão - SND	0	DU	0	90,00	0,000	-			0,0000	0	-	-	-	-	0,0000	0	12	MES	01/12/2005	Útil	Exponencial	0,0000	0	0,	-	-	-	-	0,0000	0	-	-	-							ITAU UNIBANCO S.A.	SIMPLIFIC PAVARINI DTVM LTDA	ITAU UNIBANCO S/A	BB BCO DE INVESTIMENTO S/A	3.33902E+13	N	 n 	
AESL11    	AES SUL DISTR. GAUCHA DE ENERGIA S.A	'001	'001	Não	Excluído	BRAESLDBS016	CVM/SRE/DEB-2001/007	05/03/2001			01/12/2000	01/12/2003	RESGATE TOTAL ANTECIPADO	30/06/2006	02/12/2002	07/03/2001	-	AGE	27/11/2000	RCA	19/02/2001	Escritural	Quirografária	Simples	300	0,	0,	0	0	0	0	0	0	0	0	R$	500.000,000000	R$	0,000000	30/06/2006	DI	Integrante de Juros	Não Padrão - SND	0	DU	0	0,00	0,000	-	2,0000% a.a 360 dias		-	-	MES	-		Percentual variável sobre o valor nominal atualizado em períodos não uniformes															0,0000	0	-	-	-							ITAU UNIBANCO S.A.	PLANNER CV S/A	ITAU UNIBANCO S/A	BANKBOSTON BANCO MULTIPLO S/A	2.01644E+12	N	 n 	
AESL21    	AES SUL DISTR. GAUCHA DE ENERGIA S.A	'002	'001	Não	Excluído	BRAESLDBS024	CVM/SRE/DEB-2001/008	05/03/2001			01/12/2000	01/12/2003	RESGATE TOTAL ANTECIPADO	30/06/2006	01/12/2002	07/03/2001	-	AGE	27/11/2000	RCA	19/02/2001	Escritural	Quirografária	Simples	200	0	0	0	0	0	0	0	0	0	0	R$	500.000,000000	R$	0,000000	01/12/2005	IGP-M	Correção Monetária	Não Padrão - SND	0	DC	012meses	0,00	0,000	-	12,9000% a.a 360 dias		-	-	MES	-		Percentual variável sobre o valor nominal atualizado em períodos não uniformes															0,0000	0	-	-	-							ITAU UNIBANCO S.A.	PLANNER CV S/A	ITAU UNIBANCO S/A	BANKBOSTON BANCO MULTIPLO S/A	2.01644E+12	N	 n 	
AFVL11    	AUFERVILLE TRUST S/A	'UNI	'001	Sim	Excluído	BRAFVLDBS017	CVM/SRE/DEB-2000/009	18/04/2000			01/02/2000	Indeterminado	VENCIMENTO ANTECIPADO		01/02/2000	24/04/2000	-	AGE	26/01/2000		16/03/2000	Nominativa	Subordinada	Simples	10.26	0,	0,	0	0	0	7	0	0	0	0	R$	1.000,000000	R$	0,000000	01/02/2003	IGP-M	Correção Monetária	Não Padrão - SND	0	DC	012meses	0,00	0,000	-	0,0000% 000		-	-	-	-		-															0,0000	0	-	-	-							UNIBANCO UNIAO DE BCOS BRASILEIROS S/A	PENTAGONO S/A DTVM		UNIBANCO UNIAO DE BCOS BRASILEIROS S/A	3.45398E+12	N	 n 	
ALIU11    	ALIUM PARTICIPACOES S/A	'UNI	'001	Sim	Excluído	BRALIUDBS013	CVM/SRE/DEB-2001/074	03/10/2001			01/06/2001	01/06/2004	VENCIMENTO		01/06/2001	05/10/2001	-	AGE	15/06/2001	RCA	05/09/2001	Escritural	Subordinada	Simples	240	0,	0,	0	0	0	0	0	0	0	0	R$	1.000.000,000000	R$	1.000.000,000000	05/03/2004	DI	Integrante de Juros	Padrão - SND	0	DU	0	100,00	0,000	-			0,0000	0	-	-	-	-	14,000	252	6	MES	01/12/2001	Útil	Exponencial	0,0000	0	0,	-	-	-	-	0,0000	0	-	-	-							BANCO BRADESCO S/A	PENTAGONO S/A DTVM	BANCO BRADESCO S/A	BANCO BRADESCO S/A	2.78343E+12	N	 n 	
ALLG11    	ALL-AMERICA LATINA LOGISTICA S/A	'UNI	'001	Sim	Excluído	BRPIUMDBS035	CVM/SRE/DEB-2000/038	18/12/2000			01/11/2000	01/11/2003	VENCIMENTO		01/11/2000	20/12/2000	-	AGE	13/10/2000	   		Escritural	Subordinada	Simples	8	0	0	0	0	0	0	0	0	0	0	R$	10.000,000000	R$	0,000000	04/11/2003	DI	Integrante de Juros	Padrão - SND	0	DU	0	100,00	0,000	-			0,0000	12	MES	01/11/2001	-	Percentual variável sobre o valor nominal de emissão em períodos uniformes	17,500	252	6	MES	01/05/2001	Útil	Exponencial	0,0000	0	0,	-	-	-	-	0,0000	0	-	-	-							ITAU UNIBANCO S.A.	PENTAGONO S/A DTVM	ITAU UNIBANCO S/A	UNIBANCO UNIAO DE BCOS BRASILEIROS S/A	2.38724E+12	N	 n 	
ALLG13    	ALL-AMERICA LATINA LOGISTICA S/A	'UNI	'003	Não	Excluído	BRALLLDBS008	CVM/SRE/DEB-2004/012	23/06/2004			01/06/2004	01/06/2007	VENCIMENTO		01/06/2004	24/06/2004	-	RCA	12/05/2004	   		Escritural	Quirografária	Simples	10	2	0	0	0	0	0	0	0	0	0	R$	10.000,000000	R$	0,000000	04/06/2007	DI	Integrante de Juros	Padrão - SND	0	DU	   	110,00	0,000	-			0,0000	0	-	-	-	-	0,0000	0	6	MES	01/12/2004	Útil	Exponencial	0,0000	0	0,	-	-	-	-	0,0000	0	-	-	-							ITAU UNIBANCO S.A.	PENTAGONO S/A DTVM	ITAU UNIBANCO S/A	BANCO BTG PACTUAL S/A	2.38724E+12	N	 n 	
ALLG14    	ALL-AMERICA LATINA LOGISTICA S/A	'UNI	'004	Não	Excluído	BRALLLDBS016	CVM/SRE/DEB-2004/039	27/10/2004			01/10/2004	01/10/2009	VENCIMENTO ANTECIPADO	05/10/2009	01/10/2004	04/11/2004	-	RCA	17/09/2004	RCA	22/10/2004	Escritural	Quirografária	Simples	10	2	1.5	0	0	0	0	0	0	0	0	R$	10.000,000000	R$	0,000000	02/10/2009	DI	Integrante de Juros	Padrão - SND	0	DU	   	110,00	0,000	-			0,0000	0	-	-	-	-	0,0000	0	6	MES	01/04/2005	Útil	Exponencial	0,0000	0	0,	-	-	-	-	0,0000	0	-	-	-							ITAU UNIBANCO S.A.	SLW CVC LTDA.	ITAU UNIBANCO S/A	BANCO BTG PACTUAL S/A	2.38724E+12	N	 n 	
ALLG15    	ALL-AMERICA LATINA LOGISTICA S/A	'ÚNI	'005	Não	Excluído	BRALLLDBS024	CVM/SRE/DEB-2005/052	24/10/2005			01/09/2005	01/09/2014	VENCIMENTO		01/09/2005	-	-	RCA	02/09/2005	RCA	07/10/2005	Escritural	Quirografária	Simples	20	0,	0,	0	0	19.905	0	0,	0	0,	0	R$	10.000,000000	R$	3.333,340000	01/09/2014	DI	Integrante de Juros	Padrão - SND		-	   	100,00	0,000	-			333,333	12	MES	01/09/2012	-	Percentual fixo sobre o valor nominal de emissão em períodos uniformes	24,000	252	6	MES	01/03/2010	Útil	Exponencial	0,0000	0	0,	0 0	-	-	-	0,0000	0	-	-	-							ITAU UNIBANCO S.A.	OLIVEIRA TRUST DTVM SA	ITAU UNIBANCO S/A	HSBC BANK BRASIL S/A - B. M.	2.38724E+12	N	 n 	
AMPL13    	AMPLA ENERGIA E SERVICOS S/A	'001	'003	Não	Excluído	BRCBEEDBS013	CVM/SRE/DEB-2005/008	11/03/2005			01/03/2005	01/03/2008	VENCIMENTO	03/03/2008	01/03/2005	15/03/2005	-	AGE	20/01/2005	RCA	04/03/2005	Escritural	Quirografária	Simples	29	0	0	0	0	0	0	0	0	0	0	R$	10.000,000000	R$	0,000000	04/03/2008	DI	Integrante de Juros	Padrão - SND	0	DU	   	100,00	0,000	-			0,0000	0	-	-	-	-	12,000	252	6	MES	01/09/2005	Útil	Exponencial	0,0000	0	0,	-	-	-	-	0,0000	0	-	-	-							ITAU UNIBANCO S.A.	PENTAGONO S/A DTVM	ITAU UNIBANCO S/A	ITAU UNIBANCO S.A.	3.30501E+13	N	 n 	
AMPL23    	AMPLA ENERGIA E SERVICOS S/A	'002	'003	Não	Excluído	BRCBEEDBS021	CVM/SRE/DEB-2005/009	11/03/2005			01/03/2005	01/03/2010	VENCIMENTO	03/03/2010	01/03/2005	15/03/2005	-	AGE	20/01/2005	RCA	04/03/2005	Escritural	Quirografária	Simples	11	0,	0,	0	0	0	0	0	0	0	0	R$	10.000,000000	R$	0,000000	01/03/2010	IGP-M	Correção Monetária	Padrão - SND	1	DU	012meses	0,00	0,000	-			0,0000	0	-	-	-	-	114,000	252	12	MES	01/03/2006	Útil	Exponencial	0,0000	0	0,	-	-	-	-	0,0000	0	-	-	-							ITAU UNIBANCO S.A.	PENTAGONO S/A DTVM	ITAU UNIBANCO S/A	ITAU UNIBANCO S.A.	3.30501E+13	N	 n 	
