Empresas com Registro no SND (*)- Gerado em 20/07/2016 17:35:11																																																																																										
																																																																																										
Código do Ativo	Empresa        	Série	Emissão	IPO	Situação	ISIN	Registro CVM da Emissão	Data de Registro CVM da Emissão	Registro CVM do Programa	Data de Registro CVM do Programa	Data de Emissão	 Data de Vencimento	Motivo de Saída 	Data de Saída / Novo Vencimento	 Data do Início da Rentabilidade	Data do Início da Distribuição	Data da Próxima Repactuação	Ato Societário (1)	Data do Ato (1)	Ato Societário (2)	Data do Ato (2)	Forma	Garantia/Espécie	Classe	Quantidade Emitida	Artigo 14º	Artigo 24º	Quantidade em Mercado	Quantidade em Tesouraria	Quantidade Resgatada	Quantidade  Cancelada	Quantidade Convertida no SND	Quantidade Convertida fora do SND	Quantidade Permutada no SND	Quantidade Permutada fora do SND	Unidade Monetária	Valor Nominal na Emissão	Unidade Monetária	Valor Nominal Atual	Data Últ. VNA	Índice	Tipo	Critério de Cálculo	Dia de Referência para Índice de Preços	Critério para Índice	Corrige a cada	Percentual Multiplicador/Rentabilidade	Limite da TJLP	Tipo de Tratamento do Limite da TJLP	Juros Critério Antigo do SND	Prêmios Critério Antigo do SND	Amortização - Taxa	Amortização - Cada	Amortização - Unidade	Amortização - Carência	Amortização - Critério	Tipo de Amortização	Juros Critério Novo - Taxa	Juros Critério Novo - Prazo	Juros Critério Novo - Cada	Juros Critério Novo - Unidade	Juros Critério Novo - Carência	Juros Critério Novo - Critério	Juros Critério Novo - Tipo	Prêmio Critério Novo - Taxa	Prêmio Critério Novo - Prazo	Prêmio Critério Novo - Cada	Prêmio Critério Novo - Unidade	Prêmio Critério Novo - Carência	Prêmio Critério Novo - Critério	Prêmio Critério Novo - Tipo	Participação - Taxa	Participação - Cada	Participação - Unidade	Participação - Carência	Participação - Descrição	Rating1	Agência Classificadora	Rating2	Agência Classificadora	Rating3	Agência Classificadora	Banco Mandatário	Agente Fiduciário	Instituição Depositária	Coordenador Líder	CNPJ	Deb. Incent. (Lei 12.431)	Escritura Padronizada	Resgate Antecipado
ABC11     	PARTICIPACOES ABC S/A	'001	'001	Não	Excluído	BRPTABDBS011	SEP/GER/DEB - 95/046	19/07/1995			23/05/1995	Indeterminado	VENCIMENTO ANTECIPADO		23/05/1997	24/07/1995	-	AGE	22/06/1995	   		Nominativa	Real	Permutável	1.176	0	0	0	0	0	0	0	0	0	0	R$	11.727,040000	R$	0,000000	23/09/2003	IGP-M	Correção Monetária	Não Padrão - SND	0	DC	0	0,00	0,000	-	0,0000% 000		-	-	-	-		-															0,0000	0	-	-	-							SEM BANCO LIQUIDANTE/MANDATARIO	APORTE DTVM LTDA.		ITAU UNIBANCO S.A.	6.35156E+11	N	 n 	
ABC12     	PARTICIPACOES ABC S/A	'010	'001	ND	Excluído	BRPTABDBS0A8	SEP/GER/DEB - 95/055	19/07/1995			23/05/1995	Indeterminado	VENCIMENTO ANTECIPADO		23/05/1997	24/07/1995	-	AGE	22/06/1995			Nominativa	Real	Permutável	44	0,	0,	0	0	0	0	0	0	0	0	R$	11.727,040000	R$	0,000000	23/09/2003	IGP-M	Correção Monetária	Não Padrão - SND	0	DC	0	0,00	0,000	-	0,0000% 000		-	-	-	-		-															0,0000	0	-	-	-							SEM BANCO LIQUIDANTE/MANDATARIO	APORTE DTVM LTDA.		ITAU UNIBANCO S.A.	6.35156E+11	N	 n 	
ABC13     	PARTICIPACOES ABC S/A	'019	'001	ND	Excluído	BRPTABDBS0J9	SEP/GER/DEB - 95/064	19/07/1995			23/05/1995	Indeterminado	VENCIMENTO ANTECIPADO		23/05/1997	24/07/1995	-	AGE	22/06/1995			Nominativa	Real	Permutável	44	0,	0,	0	0	0	0	0	0	0	0	R$	11.727,040000	R$	0,000000	23/09/2003	IGP-M	Correção Monetária	Não Padrão - SND	0	DC	0	0,00	0,000	-	0,0000% 000		-	-	-	-		-															0,0000	0	-	-	-							SEM BANCO LIQUIDANTE/MANDATARIO	APORTE DTVM LTDA.		ITAU UNIBANCO S.A.	6.35156E+11	N	 n 	
ABC21     	PARTICIPACOES ABC S/A	'002	'001	ND	Excluído	BRPTABDBS029	SEP/GER/DEB - 95/047	19/07/1995			23/05/1995	Indeterminado	VENCIMENTO ANTECIPADO		23/05/1997	24/07/1995	-	AGE	22/06/1995			Nominativa	Real	Permutável	44	0,	0,	0	0	0	0	0	0	0	0	R$	11.727,040000	R$	0,000000	23/09/2003	IGP-M	Correção Monetária	Não Padrão - SND	0	DC	0	0,00	0,000	-	0,0000% 000		-	-	-	-		-															0,0000	0	-	-	-							SEM BANCO LIQUIDANTE/MANDATARIO	APORTE DTVM LTDA.		ITAU UNIBANCO S.A.	6.35156E+11	N	 n 	
ABC22     	PARTICIPACOES ABC S/A	'011	'001	ND	Excluído	BRPTABDBS0B6	SEP/GER/DEB - 95/056	19/07/1995			23/05/1995	Indeterminado	VENCIMENTO ANTECIPADO		23/05/1997	24/07/1995	-	AGE	22/06/1995			Nominativa	Real	Permutável	44	0,	0,	0	0	0	0	0	0	0	0	R$	11.727,040000	R$	0,000000	23/09/2003	IGP-M	Correção Monetária	Não Padrão - SND	0	DC	0	0,00	0,000	-	0,0000% 000		-	-	-	-		-															0,0000	0	-	-	-							SEM BANCO LIQUIDANTE/MANDATARIO	APORTE DTVM LTDA.		ITAU UNIBANCO S.A.	6.35156E+11	N	 n 	
ABC23     	PARTICIPACOES ABC S/A	'020	'001	ND	Excluído	BRPTABDBS0K7	SEP/GER/DEB - 95/065	19/07/1995			23/05/1995	Indeterminado	VENCIMENTO ANTECIPADO		23/05/1997	24/07/1995	-	AGE	22/06/1995			Nominativa	Real	Permutável	44	0,	0,	0	0	0	0	0	0	0	0	R$	11.727,040000	R$	0,000000	23/09/2003	IGP-M	Correção Monetária	Não Padrão - SND	0	DC	0	0,00	0,000	-	0,0000% 000		-	-	-	-		-															0,0000	0	-	-	-							SEM BANCO LIQUIDANTE/MANDATARIO	APORTE DTVM LTDA.		ITAU UNIBANCO S.A.	6.35156E+11	N	 n 	
ABC31     	PARTICIPACOES ABC S/A	'003	'001	ND	Excluído	BRPTABDBS037	SEP/GER/DEB - 95/048	19/07/1995			23/05/1995	Indeterminado	VENCIMENTO ANTECIPADO		23/05/1997	24/07/1995	-	AGE	22/06/1995			Nominativa	Real	Permutável	44	0,	0,	0	0	0	0	0	0	0	0	R$	11.727,040000	R$	0,000000	23/09/2003	IGP-M	Correção Monetária	Não Padrão - SND	0	DC	0	0,00	0,000	-	0,0000% 000		-	-	-	-		-															0,0000	0	-	-	-							SEM BANCO LIQUIDANTE/MANDATARIO	APORTE DTVM LTDA.		ITAU UNIBANCO S.A.	6.35156E+11	N	 n 	
ABC32     	PARTICIPACOES ABC S/A	'012	'001	ND	Excluído	BRPTABDBS0C4	SEP/GER/DEB - 95/057	19/07/1995			23/05/1995	Indeterminado	VENCIMENTO ANTECIPADO		23/05/1997	24/07/1995	-	AGE	22/06/1995			Nominativa	Real	Permutável	44	0,	0,	0	0	0	0	0	0	0	0	R$	11.727,040000	R$	0,000000	23/09/2003	IGP-M	Correção Monetária	Não Padrão - SND	0	DC	0	0,00	0,000	-	0,0000% 000		-	-	-	-		-															0,0000	0	-	-	-							SEM BANCO LIQUIDANTE/MANDATARIO	APORTE DTVM LTDA.		ITAU UNIBANCO S.A.	6.35156E+11	N	 n 	
ABC33     	PARTICIPACOES ABC S/A	'021	'001	ND	Excluído	BRPTABDBS0L5	SEP/GER/DEB - 95/066	19/07/1995			23/05/1995	Indeterminado	VENCIMENTO ANTECIPADO		23/05/1997	24/07/1995	-	AGE	22/06/1995			Nominativa	Real	Permutável	44	0,	0,	0	0	0	0	0	0	0	0	R$	11.727,040000	R$	0,000000	23/09/2003	IGP-M	Correção Monetária	Não Padrão - SND	0	DC	0	0,00	0,000	-	0,0000% 000		-	-	-	-		-															0,0000	0	-	-	-							SEM BANCO LIQUIDANTE/MANDATARIO	APORTE DTVM LTDA.		ITAU UNIBANCO S.A.	6.35156E+11	N	 n 	
ABC41     	PARTICIPACOES ABC S/A	'004	'001	ND	Excluído	BRPTABDBS045	SEP/GER/DEB - 95/049	19/07/1995			23/05/1995	Indeterminado	VENCIMENTO ANTECIPADO		23/05/1997	24/07/1995	-	AGE	22/06/1995			Nominativa	Real	Permutável	44	0,	0,	0	0	0	0	0	0	0	0	R$	11.727,040000	R$	0,000000	23/09/2003	IGP-M	Correção Monetária	Não Padrão - SND	0	DC	0	0,00	0,000	-	0,0000% 000		-	-	-	-		-															0,0000	0	-	-	-							SEM BANCO LIQUIDANTE/MANDATARIO	APORTE DTVM LTDA.		ITAU UNIBANCO S.A.	6.35156E+11	N	 n 	
